,name,city,state,n_students,type,acceptance_difficulty,freshman_satisfaction,grad_rate,resident_cost,nonresident_cost,need_met,merit_aid,avg_grad_debt,gender_mix,pct_american_indian,pct_african_american,pct_asian_pacific_islander,pct_hispanic,pct_international
0,Abilene Christian University,Abilene,TX,3670.0,Priv,Mod,0.765,0.48100000000000004,51957.0,51957.0,0.71,1.0,,Coed,0.003,0.091,0.013000000000000001,0.17800000000000002,0.039
1,Academy of Art University,San Francisco,CA,7051.0,Proft,Non,0.78,0.055,52532.0,52532.0,0.32,0.11,35862.0,Coed,0.006999999999999999,0.081,0.092,0.155,0.278
2,Adams State University,Alamosa,CO,1991.0,Pub,Mod,0.5379999999999999,0.24,22916.0,34340.0,0.7,0.41,22822.0,Coed,0.013000000000000001,0.081,0.012,0.348,0.006
3,Adelphi University,Garden City,NY,5391.0,Priv,Mod,0.81,0.603,58710.0,58710.0,0.44,0.86,34980.0,Coed,0.002,0.09,0.115,0.18100000000000002,0.04
4,Adrian College,Adrian,MI,1647.0,Priv,Mod,0.7,0.42200000000000004,,,0.77,0.22,27741.0,Coed,0.004,0.099,0.006,0.023,0.001
5,Adventist University of Health Sciences,Orlando,FL,1341.0,Priv,Min,0.66,,28872.0,28872.0,0.31,0.14,38990.0,Coed,0.002,0.188,0.057999999999999996,0.324,0.016
6,Agnes Scott College,Decatur,GA,996.0,Priv,Mod,0.789,0.638,57705.0,57705.0,0.84,0.37,30850.0,Women,0.002,0.335,0.083,0.13699999999999998,0.07
7,Alabama A&M University,Huntsville,AL,4940.0,Pub,Min,0.75,0.37200000000000005,24036.0,32646.0,0.74,0.07,38819.0,Coed,0.001,0.97,0.002,0.003,0.009000000000000001
8,Alabama State University,Montgomery,AL,3903.0,Pub,Min,0.59,0.10099999999999999,22260.0,30588.0,0.81,0.33,3376.0,Coed,0.001,0.945,0.005,0.01,0.01
9,Alaska Bible College,Palmer,AK,50.0,Priv,Min,0.2,,15800.0,15800.0,,,,Coed,0.013000000000000001,0.006999999999999999,,0.013000000000000001,
10,Alaska Pacific University,Anchorage,AK,294.0,Priv,Min,0.46299999999999997,0.364,34670.0,34670.0,,,,Coed,0.139,0.040999999999999995,0.034,0.013999999999999999,0.0
11,Albany College of Pharmacy and Health Sciences,Albany,NY,1078.0,Priv,Mod,0.8,0.74,,,0.54,0.25,,Coed,0.004,0.037000000000000005,0.152,0.049,0.067
12,Albany State University,Albany,GA,2594.0,Pub,Min,0.6709999999999999,0.053,15202.0,28278.0,0.71,0.38,,Coed,0.003,0.902,0.001,0.019,0.004
13,Albertus Magnus College,New Haven,CT,1220.0,Priv,Mod,0.84,0.26899999999999996,48892.0,48892.0,,,36908.0,Coed,0.003,0.34600000000000003,0.005,0.185,0.016
14,Albion College,Albion,MI,1533.0,Priv,Mod,0.75,0.525,62155.0,62155.0,0.93,0.99,40347.0,Coed,0.003,0.153,0.021,0.10400000000000001,0.017
15,Albright College,Reading,PA,1912.0,Priv,Mod,0.688,0.435,41382.0,41382.0,0.89,0.14,36422.0,Coed,0.011000000000000001,0.23600000000000002,0.023,0.152,0.018000000000000002
16,Alcorn State University,Lorman,MS,3172.0,Pub,Mod,0.75,0.158,24680.0,24680.0,0.76,0.62,33766.0,Coed,0.002,0.934,0.001,0.005,0.027000000000000003
17,Alderson-Broaddus College,Philippi,WV,981.0,Priv,Mod,0.55,0.39399999999999996,39820.0,39820.0,0.91,0.32,24079.0,Coed,0.006999999999999999,0.18899999999999997,0.016,0.044000000000000004,0.046
18,Alfred State College,Alfred,NY,3737.0,Pub,Mod,0.69,0.562,26361.0,36271.0,0.54,0.31,32052.0,Coed,0.003,0.124,0.015,0.09300000000000001,0.006999999999999999
19,Alfred University,Alfred,NY,1671.0,Priv,Mod,0.73,0.442,51988.0,51988.0,0.85,0.51,34224.0,Coed,0.004,0.11699999999999999,0.015,0.098,0.026000000000000002
20,Alice Lloyd College,Pippa Passes,KY,598.0,Priv,Min,0.604,0.154,,16690.0,0.66,0.17,10141.0,Coed,0.0,0.022000000000000002,0.005,0.013000000000000001,0.006999999999999999
