,name,city,state,n_students,type,acceptance_difficulty,freshman_satisfaction,grad_rate,resident_cost,nonresident_cost,need_met,merit_aid,avg_grad_debt,gender_mix,pct_american_indian,pct_african_american,pct_asian_pacific_islander,pct_hispanic,pct_international
0,Abilene Christian University,Abilene,TX,3670.0,Priv,Mod,0.765,0.48100000000000004,51957.0,51957.0,0.71,1.0,29789.73867313916,Coed,0.003,0.091,0.013000000000000001,0.17800000000000002,0.039
1,Academy of Art University,San Francisco,CA,7051.0,Proft,Non,0.78,0.055,52532.0,52532.0,0.32,0.11,35862.0,Coed,0.006999999999999999,0.081,0.092,0.155,0.278
2,Adams State University,Alamosa,CO,1991.0,Pub,Mod,0.5379999999999999,0.24,22916.0,34340.0,0.7,0.41,22822.0,Coed,0.013000000000000001,0.081,0.012,0.348,0.006
3,Adelphi University,Garden City,NY,5391.0,Priv,Mod,0.81,0.603,58710.0,58710.0,0.44,0.86,34980.0,Coed,0.002,0.09,0.115,0.18100000000000002,0.04
4,Adrian College,Adrian,MI,1647.0,Priv,Mod,0.7,0.42200000000000004,41820.71224165342,46243.2507936508,0.77,0.22,27741.0,Coed,0.004,0.099,0.006,0.023,0.001
5,Adventist University of Health Sciences,Orlando,FL,1341.0,Priv,Min,0.66,0.4394890688259114,28872.0,28872.0,0.31,0.14,38990.0,Coed,0.002,0.188,0.057999999999999996,0.324,0.016
6,Agnes Scott College,Decatur,GA,996.0,Priv,Mod,0.789,0.638,57705.0,57705.0,0.84,0.37,30850.0,Women,0.002,0.335,0.083,0.13699999999999998,0.07
7,Alabama A&M University,Huntsville,AL,4940.0,Pub,Min,0.75,0.37200000000000005,24036.0,32646.0,0.74,0.07,38819.0,Coed,0.001,0.97,0.002,0.003,0.009000000000000001
8,Alabama State University,Montgomery,AL,3903.0,Pub,Min,0.59,0.10099999999999999,22260.0,30588.0,0.81,0.33,3376.0,Coed,0.001,0.945,0.005,0.01,0.01
9,Albany State University,Albany,GA,2594.0,Pub,Min,0.6709999999999999,0.053,15202.0,28278.0,0.71,0.38,29789.73867313916,Coed,0.003,0.902,0.001,0.019,0.004
10,Albertus Magnus College,New Haven,CT,1220.0,Priv,Mod,0.84,0.26899999999999996,48892.0,48892.0,0.7155396825396817,0.4180911233307144,36908.0,Coed,0.003,0.34600000000000003,0.005,0.185,0.016
11,Albion College,Albion,MI,1533.0,Priv,Mod,0.75,0.525,62155.0,62155.0,0.93,0.99,40347.0,Coed,0.003,0.153,0.021,0.10400000000000001,0.017
12,Albright College,Reading,PA,1912.0,Priv,Mod,0.688,0.435,41382.0,41382.0,0.89,0.14,36422.0,Coed,0.011000000000000001,0.23600000000000002,0.023,0.152,0.018000000000000002
13,Alcorn State University,Lorman,MS,3172.0,Pub,Mod,0.75,0.158,24680.0,24680.0,0.76,0.62,33766.0,Coed,0.002,0.934,0.001,0.005,0.027000000000000003
14,Alderson-Broaddus College,Philippi,WV,981.0,Priv,Mod,0.55,0.39399999999999996,39820.0,39820.0,0.91,0.32,24079.0,Coed,0.006999999999999999,0.18899999999999997,0.016,0.044000000000000004,0.046
15,Alfred State College,Alfred,NY,3737.0,Pub,Mod,0.69,0.562,26361.0,36271.0,0.54,0.31,32052.0,Coed,0.003,0.124,0.015,0.09300000000000001,0.006999999999999999
16,Alfred University,Alfred,NY,1671.0,Priv,Mod,0.73,0.442,51988.0,51988.0,0.85,0.51,34224.0,Coed,0.004,0.11699999999999999,0.015,0.098,0.026000000000000002
17,Alice Lloyd College,Pippa Passes,KY,598.0,Priv,Min,0.604,0.154,41820.71224165342,16690.0,0.66,0.17,10141.0,Coed,0.0,0.022000000000000002,0.005,0.013000000000000001,0.006999999999999999
18,Allegheny College,Meadville,PA,1771.0,Priv,Very,0.82,0.664,65400.0,65400.0,0.92,0.33,29789.73867313916,Coed,0.003,0.095,0.038,0.09699999999999999,0.036000000000000004
19,Alma College,Alma,MI,1426.0,Priv,Mod,0.765,0.561,53282.0,53282.0,0.75,0.24,39081.0,Coed,0.004,0.034,0.016,0.051,0.018000000000000002
20,Alvernia University,Reading,PA,2323.0,Priv,Mod,0.82,0.366,49530.0,49530.0,0.68,0.24,51958.0,Coed,0.003,0.105,0.017,0.086,0.004
21,Alverno College,Milwaukee,WI,1219.0,Priv,Mod,0.68,0.2,44044.0,44044.0,0.7155396825396817,0.9,36994.0,Not Reported,0.006999999999999999,0.136,0.047,0.3,0.002
22,American International College,Springfield,MA,1372.0,Priv,Min,0.62,0.258,52480.0,52480.0,0.72,0.09,35587.0,Coed,0.005,0.24600000000000002,0.017,0.198,0.03
23,American University,Washington,DC,8287.0,Priv,Very,0.878,0.75,66478.0,66478.0,0.87,0.25,35122.0,Coed,0.001,0.077,0.077,0.14300000000000002,0.129
24,Amherst College,Amherst,MA,1836.0,Priv,Most,0.96,0.8959999999999999,76750.0,76750.0,1.0,0.4180911233307144,13710.0,Coed,0.006999999999999999,0.125,0.158,0.14,0.092
25,Anderson University,Anderson,SC,2983.0,Priv,Min,0.75,0.519,43110.0,43110.0,0.74,0.4,48455.0,Coed,0.001,0.063,0.005,0.035,0.012
26,Anderson University,Anderson,IN,1566.0,Priv,Mod,0.73,0.5720000000000001,45240.0,45240.0,0.97,0.17,29789.73867313916,Coed,0.012,0.094,0.018000000000000002,0.022000000000000002,0.019
27,Andrews University,Berrien Springs,MI,1704.0,Priv,Mod,0.868,0.331,43158.0,43158.0,0.86,0.99,33456.0,Coed,0.003,0.233,0.18,0.16899999999999998,0.179
28,Angelo State University,San Angelo,TX,8752.0,Pub,Mod,0.669,0.20600000000000002,22629.0,35289.0,0.87,0.62,24496.0,Coed,0.004,0.059000000000000004,0.017,0.37,0.026000000000000002
29,Anna Maria College,Paxton,MA,1128.0,Priv,Min,0.65,0.255,52090.0,52090.0,0.7155396825396817,0.88,29789.73867313916,Coed,0.004,0.105,0.021,0.084,0.004
30,Appalachian Bible College,Mount Hope,WV,259.0,Priv,Non,0.74,0.47200000000000003,22900.0,22900.0,0.7,0.05,3043.0,Coed,0.0063138741470811005,0.013999999999999999,0.013999999999999999,0.006999999999999999,0.04
31,Appalachian State University,Boone,NC,17381.0,Pub,Mod,0.872,0.523,19458.0,34265.0,0.63,0.05,23230.0,Coed,0.003,0.035,0.018000000000000002,0.063,0.008
32,Aquinas College,Grand Rapids,MI,1551.0,Priv,Mod,0.736,0.36,46164.0,46164.0,0.79,0.57,32204.0,Coed,0.004,0.039,0.013999999999999999,0.069,0.024
33,Arcadia University,Glenside,PA,2390.0,Priv,Mod,0.78,0.625,58340.0,58340.0,0.86,0.4,29789.73867313916,Coed,0.002,0.098,0.054000000000000006,0.091,0.028999999999999998
34,Arizona Christian University,Phoenix,AZ,700.0,Priv,Min,0.7677559478127401,0.429,40550.0,40550.0,0.31,0.28,29789.73867313916,Coed,0.012,0.156,0.011000000000000001,0.231,0.044000000000000004
35,Arizona State University,Tempe,AZ,42427.0,Pub,Mod,0.87,0.455,29103.0,47193.0,0.7,0.37,23237.0,Coed,0.013000000000000001,0.043,0.087,0.235,0.126
36,Arkansas State University,State University,AR,9592.0,Pub,Mod,0.76,0.212,17240.0,23540.0,0.62,0.57,27400.0,Coed,0.004,0.14,0.009000000000000001,0.027000000000000003,0.052000000000000005
37,Arkansas Tech University,Russellville,AR,11151.0,Pub,Mod,0.703,0.285,21523.0,28483.0,0.59,0.67,23417.0,Coed,0.006,0.077,0.013999999999999999,0.077,0.038
38,Arlington Baptist College,Arlington,TX,164.0,Priv,Non,0.35,0.146,23640.0,23640.0,0.7155396825396817,0.4180911233307144,4838.0,Coed,0.012,0.245,0.012,0.172,0.006
39,Armstrong State University,Savannah,GA,6281.0,Pub,Mod,0.65,0.127,17014.0,30496.0,0.63,0.06,29030.0,Coed,0.004,0.267,0.038,0.085,0.018000000000000002
40,Ashland University,Ashland,OH,4536.0,Priv,Mod,0.7959999999999999,0.501,32170.0,32170.0,0.7155396825396817,0.15,36779.0,Coed,0.005,0.133,0.006999999999999999,0.031,0.022000000000000002
41,Assumption College,Worcester,MA,1938.0,Priv,Mod,0.831,0.716,58244.0,58244.0,0.77,0.33,29789.73867313916,Coed,0.001,0.05,0.027999999999999997,0.079,0.018000000000000002
42,Auburn University,Auburn University,AL,24628.0,Pub,Mod,0.898,0.499,32196.0,51828.0,0.52,0.29,29331.0,Coed,0.004,0.057999999999999996,0.025,0.036000000000000004,0.067
43,Auburn University at Montgomery,Montgomery,AL,4632.0,Pub,Mod,0.67,0.12,22309.0,32787.0,0.58,0.84,28464.0,Coed,0.004,0.43200000000000005,0.024,0.012,0.048
44,Augsburg College,Minneapolis,MN,2427.0,Priv,Mod,0.7659999999999999,0.451,54461.0,54461.0,0.8,0.22,40097.0,Coed,0.01,0.13699999999999998,0.09,0.079,0.034
45,Augustana College,Rock Island,IL,2647.0,Priv,Mod,0.865,0.706,54907.0,54907.0,0.87,0.37,34964.0,Coed,0.0,0.043,0.027999999999999997,0.105,0.071
46,Augustana University,Sioux Falls,SD,1749.0,Priv,Mod,0.86,0.5589999999999999,48076.0,48076.0,0.89,0.99,38588.0,Coed,0.005,0.023,0.015,0.03,0.079
47,Aurora University,Aurora,IL,4020.0,Priv,Mod,0.7490000000000001,0.37200000000000005,40632.0,40632.0,0.82,0.27,28373.0,Coed,0.002,0.07200000000000001,0.025,0.315,0.003
48,Austin College,Sherman,TX,1288.0,Priv,Very,0.816,0.6559999999999999,56557.0,56557.0,0.87,0.41,29789.73867313916,Coed,0.005,0.10099999999999999,0.131,0.209,0.019
49,Austin Peay State University,Clarksville,TN,9871.0,Pub,Mod,0.66,0.257,27059.0,32603.0,0.7155396825396817,0.74,25279.0,Coed,0.003,0.221,0.017,0.077,0.006
50,Ave Maria University,Ave Maria,FL,1068.0,Priv,Mod,0.72,0.447,41820.71224165342,46243.2507936508,0.83,0.45,26420.0,Coed,0.006,0.054000000000000006,0.027000000000000003,0.152,0.022000000000000002
51,Averett University,Danville,VA,965.0,Priv,Mod,0.634,0.358,45586.0,45586.0,0.7,0.18,31127.0,Coed,0.004,0.308,0.011000000000000001,0.04,0.057
52,Avila University,Kansas City,MO,1246.0,Priv,Min,0.68,0.33799999999999997,31115.0,31115.0,0.26,0.17,16508.0,Coed,0.006,0.249,0.024,0.111,0.092
53,Azusa Pacific University,Azusa,CA,5671.0,Priv,Mod,0.8270000000000001,0.512,56826.0,56826.0,0.62,0.44,24867.0,Coed,0.002,0.054000000000000006,0.11,0.33,0.028999999999999998
54,Babson College,Babson Park,MA,2361.0,Priv,Very,0.94,0.8909999999999999,73178.0,73178.0,1.0,0.1,37866.0,Coed,0.001,0.062,0.16899999999999998,0.158,0.27699999999999997
55,Baker University,Baldwin City,KS,1214.0,Priv,Mod,0.813,0.455,44630.0,44630.0,0.8,0.96,35161.0,Coed,0.008,0.09699999999999999,0.016,0.091,0.028999999999999998
56,Baldwin Wallace University,Berea,OH,3136.0,Priv,Mod,0.825,0.462,50260.0,50260.0,0.88,0.32,33838.0,Coed,0.001,0.09300000000000001,0.013000000000000001,0.055999999999999994,0.006999999999999999
57,Ball State University,Muncie,IN,17004.0,Pub,Mod,0.785,0.47600000000000003,24962.0,41742.0,0.66,0.65,28275.0,Coed,0.0,0.086,0.013000000000000001,0.05,0.015
58,Baptist Bible College and Seminary,South Abington Township,PA,722.0,Priv,Min,0.47,0.36200000000000004,32110.0,32110.0,0.7155396825396817,0.4180911233307144,29483.0,Coed,0.004,0.035,0.006999999999999999,0.015,0.001
59,Baptist College of Florida,Graceville,FL,427.0,Priv,Non,0.74,0.257,22982.0,22982.0,0.25,0.1,24444.0,Coed,0.005,0.073,0.009000000000000001,0.035,0.002
60,Barclay College,Haviland,KS,229.0,Priv,Min,0.65,0.38299999999999995,32990.0,32990.0,0.2,0.18,19926.0,Coed,0.018000000000000002,0.16399999999999998,0.009000000000000001,0.062,0.017
61,Bard College,Annandale-on-Hudson,NY,1930.0,Priv,Mod,0.825,0.621,75112.0,75112.0,0.81,0.01,27726.0,Coed,0.001,0.081,0.047,0.064,0.109
62,Barnard College,New York,NY,2604.0,Priv,Most,0.95,0.871,78044.0,78044.0,1.0,0.4180911233307144,20829.0,Women,0.003,0.066,0.163,0.131,0.091
63,Barry University,Miami Shores,FL,3505.0,Priv,Mod,0.61,0.4394890688259114,47100.0,47100.0,0.68,0.97,41293.0,Coed,0.005,0.371,0.015,0.369,0.084
64,Barton College,Wilson,NC,976.0,Priv,Min,0.72,0.413,47754.0,47754.0,0.67,0.18,25529.0,Coed,0.009000000000000001,0.21600000000000003,0.011000000000000001,0.096,0.053
65,Baruch College (City University of New York),New York,NY,15024.0,Pub,Very,0.885,0.39799999999999996,41820.71224165342,46243.2507936508,0.51,0.06,9182.0,Coed,0.001,0.095,0.361,0.292,0.10800000000000001
66,Bates College,Lewiston,ME,1787.0,Priv,Very,0.9520000000000001,0.89,73538.0,73538.0,1.0,0.4180911233307144,21525.0,Coed,0.001,0.053,0.042,0.09699999999999999,0.07400000000000001
67,Bay Path College,Longmeadow,MA,1947.0,Priv,Mod,0.7,0.534,49856.0,49856.0,0.74,0.1,41594.0,Not Reported,0.003,0.131,0.021,0.192,0.006
68,Baylor University,Waco,TX,14188.0,Priv,Mod,0.888,0.627,64880.0,64880.0,0.68,0.92,50172.0,Coed,0.004,0.061,0.069,0.163,0.033
69,Beacon College,Leesburg,FL,348.0,Priv,Mod,0.68,0.56,59926.0,59926.0,0.7155396825396817,0.24,27000.0,Coed,0.006,0.151,0.038,0.057999999999999996,0.011000000000000001
70,Becker College,Worcester,MA,1882.0,Priv,Mod,0.73,0.4394890688259114,58385.0,58385.0,0.6,1.0,29789.73867313916,Coed,0.006999999999999999,0.073,0.025,0.084,0.008
71,Belhaven University,Jackson,MS,2482.0,Priv,Mod,0.63,0.371,37000.0,37000.0,0.68,1.0,8654.0,Coed,0.004,0.457,0.01,0.053,0.018000000000000002
72,Bellarmine University,Louisville,KY,2552.0,Priv,Mod,0.79,0.564,59320.0,59320.0,0.82,0.41,29095.0,Coed,0.002,0.049,0.021,0.04,0.013000000000000001
73,Belmont University,Nashville,TN,6497.0,Priv,Mod,0.85,0.583,54595.0,54595.0,0.63,0.39,30465.0,Coed,0.003,0.047,0.024,0.054000000000000006,0.013999999999999999
74,Beloit College,Beloit,WI,1275.0,Priv,Mod,0.78,0.72,61784.0,61784.0,0.95,0.67,31675.0,Coed,0.002,0.083,0.05,0.14,0.18
75,Bemidji State University,Bemidji,MN,4833.0,Pub,Mod,0.7677559478127401,0.262,17104.0,17104.0,0.58,0.59,29789.73867313916,Coed,0.027000000000000003,0.023,0.013000000000000001,0.024,0.023
76,Benedictine College,Atchison,KS,2071.0,Priv,Min,0.79,0.489,48200.0,48200.0,0.78,0.43,29196.0,Coed,0.006,0.034,0.011000000000000001,0.069,0.019
77,Benedictine University,Lisle,IL,2718.0,Priv,Mod,0.72,0.33,48360.0,48360.0,0.7155396825396817,0.93,33295.0,Coed,0.006999999999999999,0.086,0.151,0.17600000000000002,0.013999999999999999
78,Bennett College,Greensboro,NC,534.0,Priv,Min,0.53,0.195,32817.0,32817.0,0.45,0.04,29789.73867313916,Women,0.0,0.858,0.002,0.025,0.009000000000000001
79,Bennington College,Bennington,VT,775.0,Priv,Very,0.78,0.561,77155.0,77155.0,0.9,0.28,27965.0,Coed,0.005,0.046,0.024,0.11900000000000001,0.171
80,Bentley University,Waltham,MA,4253.0,Priv,Very,0.93,0.8170000000000001,71320.0,71320.0,0.95,0.4,30997.0,Coed,0.0,0.044000000000000004,0.102,0.084,0.162
81,Berea College,Berea,KY,1673.0,Priv,Mod,0.831,0.47600000000000003,41820.71224165342,10766.0,0.98,0.4180911233307144,7468.0,Coed,0.001,0.175,0.03,0.129,0.075
82,Berklee College of Music,Boston,MA,5112.0,Priv,Mod,0.85,0.385,66944.0,66944.0,0.44,0.45,43444.0,Coed,0.002,0.076,0.066,0.126,0.332
83,Berry College,Mount Berry,GA,1978.0,Priv,Mod,0.78,0.573,53540.0,53540.0,0.85,0.39,26858.0,Coed,0.003,0.052000000000000005,0.022000000000000002,0.067,0.006
84,Bethany College,Lindsborg,KS,665.0,Priv,Mod,0.64,0.268,39265.0,39265.0,0.89,0.25,22015.0,Coed,0.008,0.12300000000000001,0.013999999999999999,0.12,0.062
85,Bethany College,Bethany,WV,710.0,Priv,Mod,0.634,0.319,40353.0,40353.0,0.7155396825396817,0.4180911233307144,27057.0,Coed,0.006,0.18600000000000003,0.004,0.053,0.024
86,Bethany Lutheran College,Mankato,MN,739.0,Priv,Mod,0.8,0.46299999999999997,39150.0,39150.0,0.85,0.23,36911.0,Coed,0.0,0.033,0.019,0.044000000000000004,0.098
87,Bethel College,Mishawaka,IN,1294.0,Priv,Min,0.78,0.534,42406.0,42406.0,0.7155396825396817,0.4180911233307144,33565.0,Coed,0.001,0.1,0.017,0.084,0.017
88,Bethel College,North Newton,KS,444.0,Priv,Mod,0.56,0.406,41638.0,41638.0,0.91,1.0,5633.0,Coed,0.009000000000000001,0.157,0.018000000000000002,0.08800000000000001,0.016
89,Bethel University,St. Paul,MN,2857.0,Priv,Mod,0.8490000000000001,0.67,53200.0,53200.0,0.86,0.32,37883.0,Coed,0.004,0.049,0.045,0.046,0.008
